''The Q''''''uestionsWeAsk determine''
* '' The answers we find''
* '' The understandings we develop'' 
''So A''''''skIntelligentQuestions''
* IsWaterFallDiscredited
* IsWikiConstructivistLearning
* IsWikiIsoNineThousandCompatible
* IsWikiOnlyForMuggles
* IsXpAnUnselfconsciousProcess
* IsXpBorgDevelopment
* IsXpIndependentOfObjects
* IsXpMostContinuous
* IsXpOverclocked
* IsXpReallyTheSimplestThingThatCouldPossiblyWork
* IsXpSynergistic
* IsXpUnitTestingBest
* IsXpaMethod
* IsXpaProcess
* IsYourCodeThatImportant
* IsYourRudenessNecessary
* IsProgrammingMath
* IsThereSomethingJavaShouldDo
''Should''
* ShouldPageTitlesBeQuestionsOrAssertions
* ShouldUnitTestsTestInternalFunctions
* ShouldUnitTestsTestInteroperations
* ShouldWeTalkToOurselvesWhenReadingCode
''What''
* WhatCmmLevelIsTheSei
* WhatHappensWhenWeNoLongerNeedMoney
* WhatHappensWhenWeTry
* WhatOrWhen
''When''
* DontchaHateItWhen
* ShouldWeTalkToOurselvesWhenReadingCode
* SinceWhenDoesSayingSomethingMakeItSo
* WhatHappensWhenWeNoLongerNeedMoney
* WhatHappensWhenWeTry
* WhatOrWhen
* WhatYouShouldDoWhenImprovingSoftware
* WhenAndWhile
* WhenAreDatabasesNotAppropriate
* WhenAreStandardsRestrictive
* WhenAreWeGonnaNeedIt
* WhenDoSchemasAndClassesDeviate
* WhenDoYouCheckForBadArguments
* WhenDoesAnObjectBecomeGarbage
* WhenIsManifestTypingConsideredaGoodThing
* WhenIsTheUseOfDesignPatternsNotAppropriate
* WhenIsXpNotAppropriate
* WhenShouldWeUseCeePlusPlus
* WhenShouldWeUseJava
* WhenShouldntWeUseJava
''Where''
* WhereDidFreeThinkerComeFrom
* WhereDoPatternsComeFrom
* WhereDoYouWantToGoToday
* WhereHaveAllTheArchitectsGone
* WhereDoPricesComeFrom 
* WhereDoTheBracesGo 
* WhereDoYouWantToGoToday 
* WhereWasiLast  
''Why''
* WhyAnotherComponentTechnology 
* WhyAreHorribleLanguagesPopular 
* WhyAreReferencesHard 
* WhyAreWeAllHere 
* WhyAreYouLateAgain 
* WhyBotherToStructure 
* WhyBuildingsFallDown 
* WhyCallItXp 
* WhyCantiEditJamesKjxNoble 
* WhyChooseMicrosoftAndVb 
* WhyClassifyRequirements 
* WhyCppNeedsSpecializedXp 
* WhyCyTagIsntMyFavouriteProgrammingLanguage 
* WhyDidWikiTakeLaborDayWeekendOff 
* WhyDidYouRefactorThat 
* WhyDiscardOnesLegacy 
* WhyDoOperatingSystemsSuck 
* WhyDoPeopleHateXp 
* WhyDoPeopleMakeSoManyMistakes 
* WhyDoWeWriteHtml 
* WhyDoYouPermitThisToBeDoneToYou 
* WhyDoYouWasteYourTimeHere 
* WhyDoesMyUserNameDisappear 
* WhyDoesTheUniverseExist 
* WhyDoesntWikiDoHtml 
* WhyDontOthersGetWiki 
* WhyEachSiteShouldHaveaWiki 
* WhyIsDomainKnowledgeNotValued 
* WhyIsEnglishSpokenHere 
* WhyIsItSo 
* WhyIsLeadershipImportant 
* WhyIsNowClosed 
* WhyIsPayrollHard 
* WhyIsReflectionComplex 
* WhyIsSmalltalkDead 
* WhyIsTheSkyBlue 
* WhyIsXpSoHard 
* WhyIsntRebolPopular 
* WhyIsntSamCodingYet 
* WhyItIsSoHardToSellExtremeProgramming 
* WhyNotRefactorHomePages 
* WhyNotStartToday 
* WhyNotUseEmacs 
* WhyShouldiCare 
* WhyWorryAboutArchitecture 
* WhyWouldYouEverWantTo 
* WhyWritePatternsPattern 
----
Related:
* ShouldPageTitlesBeQuestionsOrAssertions (This is a ripe field for those who answer either "assertions" or "neither")
* SplitByTopicNotByOpinion
----
CategoryWiki
